V1	V2	V3
47.61000	-575.18000	0.26000
6269.02000	744.81000	1.75000
58.54000	188.55000	0.14700
108.85000	150.77000	0.20900
54.12000	185.89000	0.51500
43.50000	162.91000	0.54800
68.07000	266.72000	0.92300
47.17000	146.20000	0.70200
75.14000	139.77000	0.07300
60.72000	193.96000	0.83500
35.43000	137.68000	0.32800
65.86000	110.17000	0.24200
37.97000	127.49000	0.61600
163.48000	249.18000	0.15600
43.51000	117.84000	0.84100
75.65000	243.18000	0.20300
101.69000	151.97000	0.25100
137.02000	197.93000	0.23500
32.81000	163.85000	1.23000
13.67000	85.22000	0.15100
39.69000	196.93000	0.29200
110.91000	227.34000	0.23800
97.52000	159.55000	0.11700
123.74000	309.59000	0.43700
266.92000	132.55000	0.24300
121.10000	-78.81000	0.23200
123.24000	236.98000	0.21700
122.24000	150.89000	0.24600
390.81000	1031.61000	0.45800
20.54000	396.51000	0.12200
10.67000	84.46000	4.54000
20.44000	220.70000	4.48000
43.82000	199.00000	1.00000
11.66000	92.55000	0.48100
11.28000	88.67000	0.10600
11.01000	145.95000	0.10300
10.63000	733.21000	0.09800
10.56000	168.43000	0.10000
9.94000	301.27000	0.09300
10.15000	219.65000	0.12100
11.36000	147.33000	0.11700
10.90000	1028.29000	0.13700
13.76000	5769.93000	0.09000
10.66000	823.08000	0.12900
19.56000	580.24000	0.11200
11.69000	145.71000	0.10800
16.98000	152.28000	0.31700
147.54000	479.84000	0.30600
11.01000	90.83000	0.12800
18.22000	340.58000	0.17300
9.85000	327.05000	0.10100
17.89000	81.95000	3.35000
10.06000	172.12000	6.29000
20.75000	479.01000	10.91000
61.57000	1162.84000	3.68000
10.19000	442.71000	1.58000
15.26000	246.12000	0.18700
11.46000	467.16000	0.11000
10.08000	579.33000	0.11500
12.03000	423.47000	0.15500
13.00000	341.85000	0.09400
9.71000	800.13000	0.12400
52.85000	187.31000	0.35000
12.86000	110.86000	0.09500
13.74000	309.97000	0.09000
